,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
60,9/30/79,1979,5,FALSE,DET,10,13,MIN,,,-3,FALSE,DET,FALSE,-3,39,Pontiac Silverdome,FALSE,72,0,,DOME,MIN,Sunday,FALSE,13,10,3,-3,3,-3,3,-6,FALSE,FALSE,HOME FAV
61,9/30/79,1979,5,FALSE,TEN,31,10,CLE,,,21,FALSE,TEN,TRUE,-6,39,Houston Astrodome,FALSE,72,0,,DOME,TEN,Sunday,FALSE,31,10,21,21,-21,21,6,15,TRUE,TRUE,HOME FAV
62,9/30/79,1979,5,FALSE,LAR,21,0,ARI,,,21,FALSE,LAR,TRUE,-6,38,Anaheim Stadium,FALSE,65,10,80,,LAR,Sunday,FALSE,21,0,21,21,-21,21,6,15,TRUE,TRUE,HOME FAV
63,9/30/79,1979,5,FALSE,NO,24,14,NYG,,,10,FALSE,NO,TRUE,-6,39,Louisiana Superdome,FALSE,72,0,,DOME,NO,Sunday,FALSE,24,14,10,10,-10,10,6,4,TRUE,TRUE,HOME FAV
64,9/30/79,1979,5,FALSE,NYJ,33,27,MIA,,,-6,FALSE,MIA,FALSE,-4,43,Giants Stadium,FALSE,67,13,83,,NYJ,Sunday,FALSE,33,27,6,6,-6,-6,-4,10,TRUE,AWAY FAV,TRUE
65,9/30/79,1979,5,FALSE,LVR,27,3,DEN,,,-24,FALSE,DEN,FALSE,-3,36,Oakland Coliseum,FALSE,64,8,78,,LVR,Sunday,FALSE,27,3,24,24,-24,-24,-3,27,TRUE,AWAY FAV,TRUE
66,9/30/79,1979,5,FALSE,PHI,17,14,PIT,,,-3,FALSE,PIT,FALSE,-4,36,Veterans Stadium,FALSE,68,12,96,,PHI,Sunday,FALSE,17,14,3,3,-3,-3,-4,7,TRUE,AWAY FAV,TRUE
67,9/30/79,1979,5,FALSE,LAC,31,9,SF,,,22,FALSE,LAC,TRUE,-13,44,Qualcomm Stadium,FALSE,72,11,69,,LAC,Sunday,FALSE,31,9,22,22,-22,22,13,9,TRUE,TRUE,HOME FAV
68,9/30/79,1979,5,FALSE,SEA,6,24,KC,,,-18,FALSE,SEA,FALSE,-6,43,Seattle Kingdome,FALSE,72,0,,DOME,KC,Sunday,FALSE,24,6,18,-18,18,-18,6,-24,FALSE,FALSE,HOME FAV
69,10/1/79,1979,5,FALSE,GB,27,14,NE,,,-13,TRUE,NE,FALSE,-7,39,Lambeau Field,FALSE,52,7,88,,GB,Monday,TRUE,27,14,13,13,-13,-13,-7,20,TRUE,AWAY FAV,TRUE
70,10/7/79,1979,6,FALSE,ATL,25,7,GB,,,18,FALSE,ATL,TRUE,-6,35,Atlanta-Fulton County Stadium,FALSE,62,13,55,,ATL,Sunday,FALSE,25,7,18,18,-18,18,6,12,TRUE,TRUE,HOME FAV
71,10/7/79,1979,6,FALSE,IND,10,8,NYJ,,,-2,FALSE,NYJ,FALSE,-3,42,Memorial Stadium (Baltimore),FALSE,57,14,65,,IND,Sunday,FALSE,10,8,2,2,-2,-2,-3,5,TRUE,AWAY FAV,TRUE
72,10/7/79,1979,6,FALSE,BUF,0,7,CHI,,,-7,FALSE,BUF,FALSE,-5,40,Ralph Wilson Stadium,FALSE,50,21,74,,CHI,Sunday,FALSE,7,0,7,-7,7,-7,5,-12,FALSE,FALSE,HOME FAV
