schedule_season,schedule_week,team_home,score_home,score_away,team_away,favorite_margin,team_favorite_id,favorite_cover,spread_favorite,home_cover,fits_shank,fits_wever,fits_vergin,fits_vergin_monday,fits_gandar,fits_davis,fits_fodor
1985,6,GB,20,17,MIN,3,GB,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,6,TEN,6,21,CLE,15,CLE,TRUE,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,IND,10,15,DEN,5,DEN,FALSE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,6,LVR,23,13,NO,10,LVR,TRUE,-9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,NE,14,3,BUF,11,NE,TRUE,-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,PHI,30,7,ARI,-23,ARI,FALSE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,LAC,31,20,KC,-11,KC,FALSE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,SF,10,26,CHI,-16,SF,FALSE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,6,SEA,30,26,ATL,4,SEA,FALSE,-14.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,TB,27,31,LAR,4,LAR,FALSE,-6.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,6,WAS,24,3,DET,21,WAS,TRUE,-9.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,6,NYJ,23,7,MIA,-16,MIA,FALSE,-4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1985,7,ATL,31,24,NO,-7,PICK,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,BUF,21,9,IND,-12,PICK,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,CLE,20,21,LVR,1,LVR,FALSE,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,7,DEN,13,10,SEA,3,DEN,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,DET,23,21,SF,-2,SF,FALSE,-10.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,7,TEN,44,27,CIN,-17,CIN,FALSE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,KC,0,16,LAR,16,PICK,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,7,MIA,41,38,TB,3,MIA,FALSE,-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,MIN,21,17,LAC,4,MIN,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,7,NE,20,13,NYJ,-7,NYJ,FALSE,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,NYG,17,3,WAS,14,NYG,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,PHI,16,14,DAL,-2,DAL,FALSE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,PIT,23,10,ARI,13,PIT,TRUE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,7,CHI,23,7,GB,16,CHI,TRUE,-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,CHI,27,9,MIN,18,CHI,TRUE,-7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,CIN,26,21,PIT,-5,PIT,FALSE,-1.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,CLE,7,14,WAS,-7,CLE,FALSE,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,DAL,24,10,ATL,14,DAL,TRUE,-13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,DET,31,21,MIA,-10,MIA,FALSE,-6.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,IND,37,10,GB,-27,GB,FALSE,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,KC,10,30,DEN,20,DEN,TRUE,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,LAR,14,28,SF,14,SF,TRUE,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,NO,13,21,NYG,8,NYG,TRUE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,8,NYJ,17,14,SEA,3,NYJ,PUSH,-3,PUSH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,8,PHI,21,17,BUF,4,PHI,FALSE,-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,ARI,10,20,TEN,-10,ARI,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,TB,14,32,NE,18,NE,TRUE,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,8,LVR,34,21,LAC,13,LVR,TRUE,-6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,ATL,10,44,WAS,34,WAS,TRUE,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,BUF,17,23,CIN,6,CIN,TRUE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
